"number","date","title","summary","content","art19_uuid","published_at","byte_size","duration"
1,"2019-05-01","EP01 ゆるふわPodcastやります","mktakuya、ふっくん、とっしーの3人で、ゆるふわPodcastについて話しました。","ゆるふわ倶楽部によるゆるふわPodcast、はじめます。

","1b7d9ba7-7a74-49aa-8972-38254a32e334","2019-04-30 23:00:00",27825840,"3478.204082"
2,"2019-05-18","EP02 生の実感を得るタイミング","mktakuya、ふっくん、とっしーの3人で、帰宅前勉強メソッドと自炊の相性、生の実感を得るタイミング、イマドキのプログラミング初心者の登竜門はなにか問題について話しました。","* 自己紹介
* イントロについて
* 帰宅前勉強メソッドと自炊の相性問題
* 職場ランチ
* 生の実感を得るタイミングについて
* 「確実に痩せる」4つのメニューの紹介 https://twitter.com/kei_aesthetic/status/1126799609232150528?s=12
* 知識の定着について
* イマドキのプログラミング初心者の登竜門はなにか問題
* しょぼいカレンダー http://cal.syoboi.jp/
* LINE Developers https://developers.line.biz/ja/

","c05e5046-93ce-4d9c-9ad9-9207a105cf9c","2019-05-17 23:00:00",19585775,"2448.195918"
3,"2019-06-14","EP03 とうとうおもちゃ売り場に行かなくなってしまった","mktakuya、ふっくん、とっしーの3人で、ゆるふわPodcastのWebサイト、イヤホン・ヘッドフォン、MacBook Pro、とうとうおもちゃ売り場に行かなくなってしまったについて話しました。","* [ゆるふわPodcastのWebサイト](https://yuru28.com/)
* [Bose QC35 II](https://www.bose.co.jp/ja_jp/better_with_bose/focus_on_what_matters_quietcomfort-35-wireless-ii.html)
* [音声制御可能なBoseの新型ヘッドフォン3機種が登場 \| TechCrunch Japan](https://jp.techcrunch.com/2019/05/30/2019-05-30-bose-previews-voice-controlled-on-ear-headphones-and-a-pair-of-wireless-earbuds/)
* [Apple、初めての8コア搭載となるMacBook Proを発表 - Apple (日本)](https://www.apple.com/jp/newsroom/2019/05/apple-introduces-first-8-core-macbook-pro-the-fastest-mac-notebook-ever/)
* [WI-C600N \| ソニー](https://www.sony.jp/headphone/products/WI-C600N/)
* [卯月コウ - YouTube](https://www.youtube.com/channel/UC3lNFeJiTq6L3UWoz4g1e-A)
* [斜にかまえる、かまえないを1分ごとに切り替えるとどうなるか :: デイリーポータルZ](https://dailyportalz.jp/kiji/sya_ni_kamaeru-kamaenai)

","c45096fe-e6fc-4207-8e8b-187bd3019838","2019-06-13 23:00:00",19203970,"2400.49625"
4,"2019-06-24","EP04 とっしーが語る！自作キーボードの世界","mktakuya、ふっくん、とっしーの3人で、自作キーボード、プロメア、米びつについて話しました。","* [ゆるふわPodcastのWebサイト](https://yuru28.com)
* [Jekyll • シンプルで、ブログのような、静的サイト](https://jekyllrb-ja.github.io)
* [GitHub Pages](https://pages.github.com)
* [Corne Chocolate \| 遊舎工房](https://yushakobo.jp/shop/corne-chocolate/)
* [Corne ChocolateのInstagram写真](https://www.instagram.com/p/By7s0a9gkIf/)
* [遊舎工房 \| 自作キーボード＆レーザーカット＆UVプリント](https://yushakobo.jp/)
* [夏休みイベント「親子でキーボードを作ってみよう！」開催 のお知らせ \| 遊舎工房](https://yushakobo.jp/news/2019/06/09/summer-helixpico/)
* [ハッシュタグ #尊師スタイル](https://twitter.com/hashtag/%E5%B0%8A%E5%B8%AB%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB)
* [映画『プロメア』公式サイト 5/24（金）全国ロードショー](https://promare-movie.com/)
* [見得を切る(ミエヲキル)とは - コトバンク](https://kotobank.jp/word/%E8%A6%8B%E5%BE%97%E3%82%92%E5%88%87%E3%82%8B-637098)
* [株式会社トリガー \| ANIMATION STUDIO TRIGGER Inc.](http://www.st-trigger.co.jp/)
* [シューフさんのツイート: ""農家の娘からマジレス。お米は常温だと虫がわきやすいのと品質が劣化します。実家付近の米農家ではお米用保冷庫が使われることが多くなりました。虫対策に加えて古米になっても味が落ちにくいです。一般家庭の冷蔵庫では野菜室が適温のようです。… ""](https://twitter.com/shuerff/status/1140047148278435843?s=21)
* [神山町に「次世代高専」設立へ　2023年開校目標: 日本経済新聞](https://r.nikkei.com/article/DGXMZO46396500R20C19A6LA0000)

","379ebdc2-a7cd-41af-95bf-1347ba014caa","2019-06-23 23:00:00",19568013,"2446.001625"
5,"2019-07-10","EP05 「ツイッター生きづらくなってね？」を語る","mktakuya、ふっくん、とっしーの3人で、MacBook Air、「ツイッター生きづらくなってね？」等について話しました。","- [MacBook Air - Apple（日本）](https://www.apple.com/jp/macbook-air/)
- [MacBook AirがTrue Tone対応で1万5000円値下げ、税別12万以下に改定。非Retinaは終了 - Engadget 日本版](https://japanese.engadget.com/2019/07/09/macbook-air-true-tone-1-5000-12/)
- [Togaras1(@Togaras1)さん \| Twitter](https://twitter.com/Togaras1)
- [このためにiPadを買う価値があるかも。iPad ProをMacのサブディスプレイにできる「Sidecar」を試してみた - Engadget 日本版](https://japanese.engadget.com/2019/06/24/ipad-ipad-pro-mac-sidecar/)
- [Duet Display - Ex-Apple Engineers Turn Your iPad Into An Extra Display](https://www.duetdisplay.com/jp/)
- [ふっくんさんのツイート: ""ツイッター生きづらくなってね？""](https://twitter.com/fk2763owl/status/1147349897261117441)
- [Krileとは (クルルとは)  - ニコニコ大百科](https://dic.nicovideo.jp/a/krile)
- [Twitterが創業以来、初の黒字を記録。使い勝手が「劇的に改善」との指摘もあり - Engadget 日本版](https://japanese.engadget.com/2018/02/08/twitter/)
- [このマンガがすごい！WEB](http://konomanga.jp/)
- [違国日記（１） (FEEL COMICS swing) \| ヤマシタトモコ \| Amazon](https://www.amazon.co.jp/dp/B077GQL19W/)

","16fc762d-2f75-4552-9d2b-d5d6b2014889","2019-07-09 23:00:00",25410036,"3176.228571"
6,"2019-07-22","EP06 ふっくん不在だし生活の話でもするか","mktakuya、とっしーの2人で、NURO光、梅雨、道民が語るG対策、同居の難しさ、恋人探しなどについて話しました。","- [mktakuyaさんはTwitterを使っています: 「徹底抗戦 https://t.co/j0Q0rgfvBU」 / Twitter](https://twitter.com/mktakuya/status/1151739473295577089)
- [#yuru28 - Twitter検索 / Twitter](https://twitter.com/hashtag/yuru28)

","f8ce1930-c112-4665-85ec-187d554ae259","2019-07-21 23:00:00",15094385,"1886.772245"
7,"2019-08-05","EP07 digる楽しさを思い出す","mktakuya、ふっくん、とっしーの3人で、Rails Girls、履歴を見返すのが楽しい、digる楽しさ等について話しました。","- [BLÅHAJ ブローハイ ソフトトイ - IKEA](https://www.ikea.com/jp/ja/catalog/products/10373589/)
- [Rails Girls Tokyo, 2nd & 3rd August 2019](http://railsgirls.com/tokyo.html)
- [らいむ（@lime1024）さん / Twitter](https://twitter.com/lime1024)
- [Rails Girls Osaka #5 に参加して、女性限定イベントであることの意味を考えた #railsgirlsosaka - give IT a try](https://blog.jnito.com/entry/2018/06/22/122119)
- [履歴 - YouTube](https://www.youtube.com/feed/history/search_history?hl=ja)
- [「ディグる」の言葉の意味と語源](https://hiphop.studiorag.com/dig)

","9911268c-8342-4172-9b54-977eedcf3d37","2019-08-04 23:00:00",16432692,"2054.0865"
8,"2019-08-20","EP08 夏休みどうでしょう","mktakuya、ふっくん、とっしーの3人で、夏休みについて話しました。","- 夏休みについてだらだら語る会

","77a1e48c-e311-4c0b-bdca-fd72546d70cf","2019-08-19 23:00:00",15920483,"1990.060375"
9,"2019-09-19","EP09 りんごワールド2019","mktakuya、ふっくん、とっしーの3人で、新型Apple製品について話しました。","- [体系的に学ぶ 安全なWebアプリケーションの作り方 脆弱性が生まれる原理と対策の実践](https://www.amazon.co.jp/dp/4797361190/)
- [iPhone - Apple（日本）](https://www.apple.com/jp/iphone/)
- [開発者がダークモードに対応しないとどうなるか。 こうなる😇 ](https://twitter.com/cloverkizuna/status/1172121922018037760?s=21)
- [omniauth/omniauth: OmniAuth is a flexible authentication system utilizing Rack middleware.](https://github.com/omniauth/omniauth)
- [nhosoya/omniauth-apple: OmniAuth strategy for Sign In with Apple](https://github.com/nhosoya/omniauth-apple) 
- [Apple Developer Program](https://developer.apple.com/jp/programs/)
- [新型iPhone 11が「装甲騎兵ボトムズ」と激似。サンライズに感想を聞いたら最高の答えが（bizSPA！フレッシュ） - Yahoo!ニュース](https://headlines.yahoo.co.jp/article?a=20190913-00206692-bizspa-life)
- [Apple、最も人気の高いiPadの新バージョンを34,800円から販売することを発表 - Apple (日本)](https://www.apple.com/jp/newsroom/2019/09/apple-introduces-new-version-of-the-most-popular-ipad-starting-at-329/)

","6779b759-5fc4-42bc-9575-ee12fe886739","2019-09-18 23:00:00",22245877,"2780.734625"
10,"2019-09-30","EP10 寿司おじさんにならないために","mktakuya、ふっくん、とっしーの3人で、JSON色付け係、お金、立食形式の懇親会が苦手問題、寿司おじさん、北海道の寒さなどについて話しました。","- [ぷーじさんはTwitterを使っています: 「湯婆婆「フン。フロントエンドエンジニアというのかい？」 フロントエンドエンジニア「はい」 湯婆婆「贅沢な名だねぇ。今からおまえの名前は ""JSON色付け係"" だ。いいかい、 ""JSON色付け係"" だよ。分かったら返事をするんだ ""JSON色付け係"" ！！」」 / Twitter](https://twitter.com/YuG1224/status/1173194238139363329?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1173194238139363329&ref_url=https%3A%2F%2Fshgam.hatenadiary.jp%2Fentry%2F2019%2F09%2F21%2F104413)
- [勉強会ゴロについて語ってみる](https://anond.hatelabo.jp/20160829192722)
- [勉強会の懇親会に現れる迷惑者情報 - ohbarye](https://scrapbox.io/ohbarye/%E5%8B%89%E5%BC%B7%E4%BC%9A%E3%81%AE%E6%87%87%E8%A6%AA%E4%BC%9A%E3%81%AB%E7%8F%BE%E3%82%8C%E3%82%8B%E8%BF%B7%E6%83%91%E8%80%85%E6%83%85%E5%A0%B1)
- [IT勉強会に勉強以外の目的で来る人への考え \| Fuya.info](https://fuya.info/diary/meetup-is-not-buffet-restaurant/)
- [Roppongi.rb #12 ""夜のLT会"" - connpass](https://roppongirb.connpass.com/event/145985/)
- [IoT縛りの勉強会 ! IoTLT - connpass](https://iotlt.connpass.com/)
- [RubyKaigiという体験を経て - #june29jp](https://june29.jp/2011/07/24/rubykaigi-and-me/)
- [DroidKaigi 2020](https://droidkaigi.jp/2020/)
- [「アイスノン シャツミスト」でまだまだ残る暑さを乗り切る - #えむけーろぐ](https://blog.m6a.jp/entry/2019/09/30/004640)

","ac3730f7-17d0-410a-b295-c32d67df8bee","2019-09-29 23:00:00",17272999,"2159.124875"
